Unique_ID,X,Y,NAME,DISTRICT,Hectare,EnvironmentalValue,EnvironmentalComposite,RiverDistance,RoadDistance,RailwayDistance,SpaceValue,RiverQuality,PublicBuilding,EducationBuilding,IndustryBuilding,ResidentBuilding,PerHousehold,Aged_0_15,Aged_16_29,Aged_30_44,Aged_45_64,Aged_65__2,Aged_Working,Population,PopulationDensity,PresonsHectare,HousePrice,HouseSaleRate,EmploymentRate,UnemployRate,AccessToTraffic,Traffic,Transportation,ChildrenObesityRate,IncapacityRate,CrimeRate,DeliberateFires,StudentScore,StudentAbsence,ChildrenInLow,AceessToGreenSpace,WellBeing,LifeExpectancy,PM2_5_Conc,Attribut_1,Attribut_2,OtterRecordYear
11,538294,178935,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.61,0.23,0,0,0,0.99,0,0,0,0,0,2.2,20.03248257,24.21573628,31.40386238,21.85897363,10.90002728,32.14285714,140.5539393,42.2,45,357500,0.018,63.6,7.1,3.5999999,3.7,49.3,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
12,538480,178935,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.379,0.62,0.12,0.09,0,0,0,1761.88449,0,0,692.344017,2.2,19.24262902,27.49854246,39.62838451,14.92415122,7.112786964,142.2107728,250.617267,178.5,188,310000,0.028,69.4,6.1,3.5999999,3,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
13,538666,178935,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.991,0.54,0.84,0.02,0,0.11,0,2794.405586,0,0,0,2.2,19.24262902,27.49854246,39.62838451,14.92415122,7.112786964,142.2107728,250.617267,178.5,188,310000,0.028,69.4,6.1,3.5999999,3,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
14,538852,178935,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.5700001,0.54,1,0,0,1,0,0,0,0,0,2.2,19.24262902,27.49854246,39.62838451,14.92415122,7.112786964,142.2107728,250.617267,178.5,188,310000,0.028,69.4,3.25,3.5999999,0,0,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
15,537828,178989,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.1,0.46,1,0,0,0.14,0,141.2799988,0,0,209.628006,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
16,538015,178989,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.726,0.23,0.18,0.01,0,0.94,0,107.2139969,0,0,0,2.2,20.03248257,24.21573628,31.40386238,21.85897363,10.90002728,32.14285714,140.5539393,42.2,45,357500,0.018,63.6,7.1,3.5999999,3.7,49.3,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
17,538387,178989,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.623,0.62,0.18,0.02,0,0.35,0,1681.519497,0,1.657590032,0,2.2,19.24262902,27.49854246,39.62838451,14.92415122,7.112786964,142.2107728,250.617267,178.5,188,310000,0.028,69.4,6.1,3.5999999,3,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
18,538573,178989,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.557,0.54,0.37,0.03,0,0,0,1970.92457,0,0,0,2.2,19.24262902,27.49854246,39.62838451,14.92415122,7.112786964,142.2107728,250.617267,178.5,188,310000,0.028,69.4,6.1,3.5999999,3,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
19,538759,178989,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.5700001,0.54,1,0,0,1,0,0,0,0,0,2.2,19.24262902,27.49854246,39.62838451,14.92415122,7.112786964,142.2107728,250.617267,178.5,188,310000,0.028,69.4,3.25,3.5999999,0,0,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
20,537735,179043,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.0700001,0.54,1,0,0,0,0,0,0,0,0,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
21,537921,179043,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.034,0.54,0.7,0.06,0.04,0.46,0,232.9983361,0,0,0,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
22,538108,179043,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.348,0.23,0.01,0,0,0.45,0,1118.22998,0,0,0,2.2,20.03248257,24.21573628,31.40386238,21.85897363,10.90002728,32.14285714,140.5539393,42.2,45,357500,0.018,63.6,7.1,3.5999999,3.7,49.3,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
23,538294,179043,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.287,0.23,0.13,0.04,0,0.16,0,474.2103062,0,200.5147957,460.6230011,2.2,19.24262902,27.49854246,39.62838451,14.92415122,7.112786964,142.2107728,250.617267,178.5,188,310000,0.028,69.4,6.1,3.5999999,3,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
24,538480,179043,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.59,0.54,0.43,0.08,0,0,0,2484.609192,0,0,0,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
25,538666,179043,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.326,0.54,0.99,0.02,0,0.54,0,2329.362244,0,0,0,2.2,19.24262902,27.49854246,39.62838451,14.92415122,7.112786964,142.2107728,250.617267,178.5,188,310000,0.028,69.4,6.1,3.5999999,3,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
26,538852,179043,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.5700001,0.54,1,0,0,1,0,0,0,0,0,2.2,19.24262902,27.49854246,39.62838451,14.92415122,7.112786964,142.2107728,250.617267,178.5,188,310000,0.028,69.4,3.25,3.5999999,0,0,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
27,537828,179096,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.074,0.54,1,0.02,0,0.02,0,0.186869106,0,0,1135.089966,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
28,538015,179096,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.43,0.54,0.2,0,0,0,0,7823.5,0,0,0,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
29,538201,179096,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.209,0.23,0.01,0.03,0,0.19,0,17.0625,0,0,213.1940002,2.2,20.03248257,24.21573628,31.40386238,21.85897363,10.90002728,32.14285714,140.5539393,42.2,45,357500,0.018,63.6,7.1,3.5999999,3.7,49.3,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
30,538387,179096,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.678,0.54,0.54,0.08,0,0,0,1773.380217,0,0,0,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
31,538573,179096,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.853,0.54,0.74,0.03,0,0,0,3418.174587,0,0,350.882679,2.2,19.24262902,27.49854246,39.62838451,14.92415122,7.112786964,142.2107728,250.617267,178.5,188,310000,0.028,69.4,6.1,3.5999999,3,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
32,538759,179096,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.5700001,0.54,1,0,0,1,0,0,0,0,0,2.2,19.24262902,27.49854246,39.62838451,14.92415122,7.112786964,142.2107728,250.617267,178.5,188,310000,0.028,69.4,3.25,3.5999999,0,0,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
33,537735,179150,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.0700001,0.54,1,0,0,0,0,0,0,0,0,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
34,537921,179150,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.673,0.54,0.47,0.03,0.02,0.08,0,2096.209046,0,0,0,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
35,538108,179150,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.115,0.23,0,0,0,0,0,800.7199707,0,0,0,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
36,538294,179150,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.478,0.62,0.24,0.08,0,0,0,1623.730711,0,0,0,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
37,538480,179150,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.013,0.54,0.94,0.03,0,0,0,1850.720712,0,0,908.8129883,2.2,19.24262902,27.49854246,39.62838451,14.92415122,7.112786964,142.2107728,250.617267,178.5,188,310000,0.028,69.4,6.1,3.5999999,3,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
38,538666,179150,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.55,0.54,1,0,0,0.96,0,82.33399963,0,0,1.891680002,2.2,19.24262902,27.49854246,39.62838451,14.92415122,7.112786964,142.2107728,250.617267,178.5,188,310000,0.028,69.4,3.25,3.5999999,0,0,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
39,538852,179150,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.5700001,0.54,1,0,0,1,0,0,0,0,0,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,3.25,3.5999999,0,0,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
40,537828,179204,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.962,0.54,0.88,0.04,0,0,0,1606.610954,0,0,643.8389893,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
41,538015,179204,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.573,0.54,0.11,0,0,0.43,0,1000.288986,0,0,0,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
42,538201,179204,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.401,0.62,0.05,0.03,0,0.12,0,1545.575626,0,0,0,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
43,538387,179204,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.913,0.54,0.83,0.07,0,0,0,2250.100771,0,0,166.9949951,2.5,29.92275895,24.54191195,24.87001237,21.5890081,7.480689738,161.0235935,269.4279746,248.4,246,250000,0.004,46.7,10.55,3.5999999,3.2,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
44,538573,179204,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.397,0.54,1,0.01,0,0.66,0,0,0,0,913.2713614,2.2,19.24262902,27.49854246,39.62838451,14.92415122,7.112786964,142.2107728,250.617267,178.5,188,310000,0.028,69.4,6.1,3.5999999,3,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
45,538759,179204,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.455,0.31,1,0,0,1,0,0,0,0,0,2.2,19.24262902,27.49854246,39.62838451,14.92415122,7.112786964,142.2107728,250.617267,178.5,188,310000,0.028,69.4,3.25,3.5999999,0,0,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
46,537735,179258,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.0700001,0.54,1,0,0,0,0,0,0,0,0,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
47,537921,179258,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.543,0.54,0.31,0.02,0.07,0.09,0,2468.778767,0,0,0,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
48,538108,179258,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.356,0.62,0,0.03,0,0.11,0,1740.879295,0,0,336.4720078,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
49,538294,179258,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.599,0.62,0.25,0.12,0,0.25,0,359.2718124,0,0,154.1470032,2.5,29.92275895,24.54191195,24.87001237,21.5890081,7.480689738,161.0235935,269.4279746,248.4,246,250000,0.004,46.7,10.55,3.5999999,3.2,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
50,538480,179258,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.066,0.54,0.9,0.03,0,0.17,0,908.0770111,0,0,973.6070251,2.5,29.92275895,24.54191195,24.87001237,21.5890081,7.480689738,161.0235935,269.4279746,248.4,246,250000,0.004,46.7,10.55,3.5999999,3.2,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
51,538666,179258,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.455,0.31,1,0,0,1,0,0,0,0,0,2.5,29.92275895,24.54191195,24.87001237,21.5890081,7.480689738,161.0235935,269.4279746,248.4,246,250000,0.004,46.7,3.25,3.5999999,0,0,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
52,537828,179311,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.978,0.54,0.9,0.04,0,0,0,1469.07003,0,0,739.3269806,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
53,538015,179311,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.38,0.62,0.08,0.03,0,0.03,0,400.2360001,0,0,1414.283422,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
54,538201,179311,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.405,0.62,0.02,0.02,0,0.17,0,934.5231745,0,0,821.6009827,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
55,538387,179311,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.671,0.54,0.39,0.02,0,0.19,0,371.3904953,0,0,2515.596069,2.5,29.92275895,24.54191195,24.87001237,21.5890081,7.480689738,161.0235935,269.4279746,248.4,246,250000,0.004,46.7,10.55,3.5999999,3.2,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
56,538573,179311,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.55,0.54,1,0,0,0.96,0,0,0,0,0,2.5,29.92275895,24.54191195,24.87001237,21.5890081,7.480689738,161.0235935,269.4279746,248.4,246,250000,0.004,46.7,10.55,3.5999999,3.2,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
57,538759,179311,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.455,0.31,1,0,0,1,0,0,0,0,0,2.5,29.92275895,24.54191195,24.87001237,21.5890081,7.480689738,161.0235935,269.4279746,248.4,246,250000,0.004,46.7,3.25,3.5999999,0,0,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
58,537735,179365,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.064,0.54,1,0.02,0,0,0,1518.810997,0,0,169.7039948,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
59,537921,179365,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.513,0.54,0.34,0.05,0.07,0,0,193.6912003,0,0,3105.339996,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
60,538108,179365,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.292,0.62,0,0.06,0,0,0,3121.919014,0,0,0,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
61,538294,179365,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.447,0.62,0.13,0.09,0,0.12,0,176.5657997,0,0,1123.784508,2.5,29.92275895,24.54191195,24.87001237,21.5890081,7.480689738,161.0235935,269.4279746,248.4,246,250000,0.004,46.7,10.55,3.5999999,3.2,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
62,538480,179365,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.123,0.31,0.87,0.01,0,0.55,0,0,0,0,727.1399841,2.5,29.92275895,24.54191195,24.87001237,21.5890081,7.480689738,161.0235935,269.4279746,248.4,246,250000,0.004,46.7,10.55,3.5999999,3.2,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
63,538666,179365,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.455,0.31,1,0,0,1,0,0,0,0,0,2.5,29.92275895,24.54191195,24.87001237,21.5890081,7.480689738,161.0235935,269.4279746,248.4,246,250000,0.004,46.7,3.25,3.5999999,0,0,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
64,537828,179419,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.022,0.54,0.94,0,0,0,0,585.5300293,0,0,3396.669922,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
65,538015,179419,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.324,0.54,0.09,0.06,0,0,0,505.9660034,0,0,1379.529968,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
66,538201,179419,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.554,0.62,0,0.02,0,0.5,0,1303.958908,0,0,0,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
67,538387,179419,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.455,0.31,0.39,0.04,0,0,0,129.6640015,0,0,2427.490555,2.5,29.92275895,24.54191195,24.87001237,21.5890081,7.480689738,161.0235935,269.4279746,248.4,246,250000,0.004,46.7,10.55,3.5999999,3.2,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
68,538573,179419,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.455,0.31,1,0,0,1,0,0,0,0,0,2.5,29.92275895,24.54191195,24.87001237,21.5890081,7.480689738,161.0235935,269.4279746,248.4,246,250000,0.004,46.7,3.25,3.5999999,0,0,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
69,537735,179472,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.0700001,0.54,1,0,0,0,0,0,0,0,927.6931915,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
70,537921,179472,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.554,0.54,0.38,0.02,0.07,0,0,0,0,533.5999756,1641.845032,2.4,21.63956109,33.13983098,35.86178835,12.04466136,5.750134944,79.20075282,187.6367296,91.4,106,385000,0.041,62.1,7.7,3.5999999,4.1,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
